,,zoo,heart,lymp,apb
Error,2,276,1187,1202,776
Error,5,133,738,1039,694
Error,10,55,419,812,591
Time,2,0.2,0.16,0.23,1.07
Time,5,0.41,0.5,1.32,2.03
Time,10,0.77,2.24,2.39,3.76
Parameter,2,1,2,2,1
Parameter,5,1,2,1,1
Parameter,10,1,1,1,1
