,,zoo,heart,lymp,apb
error,k=2,274,1241,1225,794
error,k=5,153,813,1067,733
error,k=10,80,483,952,611
time,k=2,0.035318136,0.053590775,0.048213005,0.047798872
time,k=5,0.057808876,0.066431999,0.052042246,0.070225
time,k=10,0.059129,0.111269236,0.078333139,0.085235119
