,MLP_time,MLP_primal_obj,MLP_dual_obj,MLP_rel_gap,MLP_n_cols,pricer_IP_time,pricer_IP_obj
1,0.004171133041381836,219.000000023205,0.0,100.0,5.0,,
2,0.05633902549743652,198.00000327725067,0.0,100.0,8.0,,
3,0.1140141487121582,156.00000041418866,0.0,100.0,15.0,,
4,0.15921306610107422,144.50000008100142,0.0,100.0,27.0,,
5,0.20249199867248535,143.5000000000783,0.0,100.0,38.0,,
6,0.24603700637817383,138.0000000003067,0.0,100.0,51.0,,
7,0.3008120059967041,135.5000001641814,0.0,100.0,67.0,,
8,0.3526880741119385,134.00000002596576,0.0,100.0,81.0,,
9,0.4048759937286377,133.00000000034422,0.0,100.0,94.0,,
10,0.45896100997924805,132.48484848427088,0.0,100.0,112.0,,
11,0.5147511959075928,131.94397283621063,0.0,100.0,125.0,,
12,0.5707261562347412,131.64473684295214,0.0,100.0,135.0,,
13,0.6246960163116455,131.29166671714583,0.0,100.0,141.0,,
14,0.6774551868438721,129.75000000917117,0.0,100.0,148.0,,
15,0.7493970394134521,129.5588238541804,0.0,100.0,159.0,,
16,1.4084830284118652,129.42857512954026,0.0,100.0,173.0,,
17,1.4830281734466553,128.66666706356074,0.0,100.0,179.0,,
18,1.5441911220550537,128.25000004439997,0.0,100.0,186.0,,
19,1.6507630348205566,128.22222222299837,0.0,100.0,192.0,,
20,1.855640172958374,128.153846183526,0.0,100.0,199.0,,
21,2.293551206588745,128.15384618712883,0.0,100.0,201.0,,
22,2.3607211112976074,128.15384619122827,0.0,100.0,202.0,0.2557089328765869,-1.6923076987469443
23,2.6897990703582764,127.0000000039994,120.0,6.362545045316019,203.0,,
24,2.7576072216033936,127.00000001153235,120.0,6.362545045316019,207.0,,
25,2.8281521797180176,127.00000000139761,120.0,6.362545045316019,211.0,,
26,7.337828159332275,127.0000000013514,120.0,6.362545045316019,212.0,0.15236377716064453,-2.3044980274013085
27,7.564218997955322,127.00000000333888,120.0,5.511811024623148,213.0,0.1893148422241211,-3.18088954317059
28,7.838375091552734,127.0000000007903,120.0,5.5118110261018405,214.0,,
29,7.92234206199646,127.00000000321738,120.0,5.5118110261018405,216.0,0.2125258445739746,-1.4587130523952823
30,8.21206521987915,127.00000025908662,120.0,5.5118110260114435,217.0,,
31,8.283369064331055,127.0000003637488,120.0,5.5118110260114435,219.0,0.22706198692321777,-0.4082526938138429
32,10.300816059112549,127.000000352494,125.0,1.5748034315109394,220.0,0.26398706436157227,-0.2986543398651058
33,10.659951210021973,127.0000003282722,126.0,0.7874018501713912,221.0,0.3274528980255127,-0.24585957024654093
34,11.085530996322632,127.00000075883247,126.0,0.7874018312492793,222.0,,
35,11.151486158370972,127.00000051294997,126.0,0.7874018312492793,223.0,,
36,12.843928098678589,127.00000066015414,127.0,5.198064090348649e-07,224.0,0.2623100280761719,-0.16160736210190763
