,MLP_time,MLP_primal_obj,MLP_dual_obj,MLP_rel_gap,MLP_n_cols,pricer_IP_time,pricer_IP_obj
1,0.00734710693359375,1233.0000000058799,0.0,100.0,2.0,,
2,0.11739897727966309,1233.0000014437821,0.0,100.0,4.0,,
3,0.22818899154663086,1227.5000000534544,0.0,100.0,6.0,,
4,0.3448750972747803,1225.333333336864,0.0,100.0,8.0,,
5,0.45467305183410645,1211.0000055558237,0.0,100.0,10.0,,
6,0.5763540267944336,1211.0000017984125,0.0,100.0,12.0,,
7,0.6945130825042725,1211.0000125022896,0.0,100.0,14.0,,
8,0.8362460136413574,1211.0000035239862,0.0,100.0,16.0,,
9,0.960529088973999,1207.6666670058412,0.0,100.0,18.0,,
10,1.0796959400177002,1205.3333333383746,0.0,100.0,20.0,,
11,1.2107350826263428,1205.1000001184532,0.0,100.0,22.0,,
12,1.3418729305267334,1203.8571439515604,0.0,100.0,24.0,,
13,1.4643340110778809,1202.5714285751403,0.0,100.0,26.0,,
14,1.5905489921569824,1202.039475391081,0.0,100.0,28.0,,
15,1.7198970317840576,1201.2000002648947,0.0,100.0,30.0,,
16,1.8455429077148438,1200.850340191027,0.0,100.0,32.0,,
17,1.9722199440002441,1200.2647058853452,0.0,100.0,34.0,,
18,2.100438117980957,1199.1962175424062,0.0,100.0,36.0,,
19,2.230004072189331,1198.724431822289,0.0,100.0,38.0,,
20,2.3608570098876953,1198.143721634167,0.0,100.0,40.0,,
21,2.4938180446624756,1197.6465886194571,0.0,100.0,42.0,,
22,2.62662410736084,1197.0619913532241,0.0,100.0,44.0,,
23,2.761652946472168,1196.656284049898,0.0,100.0,46.0,,
24,2.896919012069702,1196.480833086529,0.0,100.0,48.0,,
25,3.034682035446167,1196.4388831701865,0.0,100.0,50.0,,
26,3.1584861278533936,1196.2381842464922,0.0,100.0,52.0,,
27,3.2823009490966797,1195.9488207877307,0.0,100.0,54.0,,
28,3.4165871143341064,1195.7201171609997,0.0,100.0,56.0,,
