,MLP_time,MLP_primal_obj,MLP_dual_obj,MLP_rel_gap,MLP_n_cols,pricer_IP_time,pricer_IP_obj
1,0.0055658817291259766,619.0000000194,0.0,100.0,10.0,,
2,0.06756997108459473,619.000000014453,0.0,100.0,12.0,,
3,0.12765789031982422,610.0000000735548,0.0,100.0,14.0,,
4,0.19265985488891602,606.0000001486557,0.0,100.0,16.0,,
5,0.2745838165283203,603.5000000018229,0.0,100.0,18.0,,
6,0.35808491706848145,599.5000000019504,0.0,100.0,20.0,,
7,0.4276139736175537,596.5000000026541,0.0,100.0,22.0,,
8,0.49825096130371094,595.4999997419228,0.0,100.0,24.0,,
9,0.5693128108978271,583.0000000167527,0.0,100.0,26.0,,
10,0.6576988697052002,580.0000000000751,0.0,100.0,28.0,,
11,0.7618629932403564,580.0000000000892,0.0,100.0,30.0,,
12,0.8693678379058838,580.0000000002955,0.0,100.0,32.0,,
13,0.9791309833526611,580.0000000013558,0.0,100.0,34.0,,
14,1.0621178150177002,578.5000000148013,0.0,100.0,36.0,,
15,1.125135898590088,578.5000004452975,0.0,100.0,38.0,,
16,1.1904399394989014,578.0000005909145,0.0,100.0,40.0,,
17,1.2599878311157227,578.0000011795814,0.0,100.0,42.0,,
18,1.3732030391693115,577.500000237151,0.0,100.0,44.0,,
19,1.4823758602142334,577.4999999305714,0.0,100.0,46.0,,
20,1.587317943572998,577.250000358775,0.0,100.0,48.0,,
21,1.6642580032348633,577.250000001219,0.0,100.0,50.0,,
22,1.7318429946899414,577.0000000001536,0.0,100.0,52.0,,
23,1.8108940124511719,576.33333339155,0.0,100.0,54.0,,
24,1.9234340190887451,576.0000000187854,0.0,100.0,56.0,,
25,2.00980281829834,576.000000367665,0.0,100.0,58.0,,
26,2.0764288902282715,576.0000001010976,0.0,100.0,60.0,,
27,1200.0261900424957,576.0000000691483,0.0,99.99999999998263,61.0,1197.7572281360626,-2.6185261958744377e-08
