,MLP_time,MLP_primal_obj,MLP_dual_obj,MLP_rel_gap,MLP_n_cols,pricer_IP_time,pricer_IP_obj
1,0.00705409049987793,1187.0000003541502,0.0,100.0,2.0,,
2,0.12348508834838867,1187.0000000030143,0.0,100.0,4.0,,
3,0.23492002487182617,1187.0000000023438,0.0,100.0,6.0,,
4,0.34590697288513184,1187.000003808452,0.0,100.0,8.0,,
5,0.45818591117858887,1187.0000000101566,0.0,100.0,10.0,,
6,0.5739538669586182,1187.000002135977,0.0,100.0,12.0,,
7,0.6877460479736328,1186.0000035432572,0.0,100.0,14.0,,
8,0.7989499568939209,1186.0000136788897,0.0,100.0,16.0,,
9,0.9157919883728027,1186.0000013436982,0.0,100.0,18.0,,
10,1.0322489738464355,1186.000000440548,0.0,100.0,20.0,,
11,1.1563589572906494,1186.0000019616302,0.0,100.0,22.0,,
12,1.272110939025879,1186.000002645613,0.0,100.0,24.0,,
13,1.3856260776519775,1186.000000104978,0.0,100.0,26.0,,
14,1.5017740726470947,1186.0000083976831,0.0,100.0,28.0,,
15,1.6186740398406982,1185.000002295074,0.0,100.0,30.0,,
16,1.7403969764709473,1185.0000016518181,0.0,100.0,32.0,,
17,1.857085943222046,1185.000007513664,0.0,100.0,34.0,127.52214121818542,-0.9686991926494954
18,129.5434329509735,1185.0000002577456,997.0,15.864979436422527,35.0,,
19,129.68689393997192,1185.0000062790689,997.0,15.864979436422527,36.0,,
20,129.8315360546112,1185.0000000192333,997.0,15.864979436422527,38.0,,
21,129.97152590751648,1185.0000026643368,997.0,15.864979436422527,39.0,147.41988801956177,-6.099175896105464
22,277.60217785835266,1185.0000000860737,997.0,15.864979092120203,40.0,,
23,277.7701139450073,1185.0000000573984,997.0,15.864979092120203,42.0,,
24,277.94066286087036,1185.0000001838123,997.0,15.864979092120203,43.0,147.82404708862305,-1.337628761156168
25,426.0137710571289,1185.000000019253,1040.0,12.236286933443735,44.0,153.20414090156555,-0.5387078204587397
26,781.6558248996735,1185.000000005077,1185.0,4.284410800801475e-10,45.0,201.9712119102478,-9.033101378008723e-09
